dept_name,emp_no,first_name,last_name,gender,birth_date,"years of service","Salaries in 2000"
"Quality Management",38611,Baoqiu,Wossner,M,1952-09-29,9.8027,59394
Research,38612,Mayuko,Gyorkos,M,1955-06-12,9.6575,39844
"Customer Service",38617,Renee,Herber,M,1952-11-24,11.2411,56084
Sales,38618,Houman,Ibel,M,1952-06-17,12.9479,83359
Finance,38621,Bikash,Rusmann,M,1955-07-21,10.3562,97093
Production,38623,Srinidhi,Waleschkowski,F,1956-06-12,12.3726,143728
Production,38629,Divine,Maksimenko,M,1956-11-07,12.2575,93761
Finance,38635,Pramod,Jeansoulin,F,1954-07-20,10.0384,81968
Development,38638,Basant,Kuhnemann,F,1955-02-20,10.0849,52755
Production,38639,Arvin,Zobel,F,1953-05-23,10.1288,86735
Development,38643,Richara,Baer,M,1953-10-31,12.0027,53721
Finance,38666,Bedrich,Penn,F,1954-04-16,11.9288,112640
Development,38669,Abdelwaheb,Jakobus,M,1953-06-04,9.7973,116974
Development,38670,Shuzo,Schrift,M,1956-02-04,11.9425,53182
Development,38671,Dmitry,Tzvieli,F,1956-09-12,13.1671,74109
"Customer Service",38676,Kendra,Pashtan,M,1954-05-18,11.8027,59487
Production,38679,Zvonko,Bael,M,1954-05-17,12.3205,128676
Sales,38684,Remmert,Krzyzanowski,M,1952-12-30,11.0192,86199
Marketing,38696,Keiichiro,Leppanen,M,1952-03-01,15.1644,55657
Development,38697,Hercules,Warwick,M,1955-09-12,14.6000,71384
Development,38700,Deniz,Figueira,M,1954-06-07,13.8849,69526
Development,38701,Kristian,Irland,M,1952-08-13,14.5890,102335
Development,38704,Gay,Bergere,M,1956-08-03,13.0575,109344
Development,38706,Zeydy,Gils,M,1954-02-16,11.8932,65284
Finance,38707,Constantine,Hitomi,M,1952-10-12,12.1452,94002
Sales,38710,Shimshon,Papastamatiou,F,1953-04-07,9.5479,63582
"Quality Management",38711,Shichao,Gini,M,1955-04-18,11.3973,58246
Development,38715,Jianhua,Dayana,M,1952-08-14,12.5370,47766
Development,38716,Toshimo,Perin,M,1954-06-16,13.4932,75106
Production,38719,Moty,Beeson,F,1953-07-28,10.1397,65459
Development,38720,Kwan,Khalil,F,1952-08-13,12.5151,170452
"Customer Service",38722,Noritoshi,Crooks,M,1954-03-04,13.4603,43893
"Human Resources",38728,Marl,Genther,F,1954-10-10,9.9753,62279
Production,38735,Giao,Aseltine,F,1957-01-01,13.9425,58304
Sales,38740,Michaela,Matzat,M,1952-02-22,12.2795,68871
Production,38742,Sreenivas,Perna,M,1952-11-19,9.2027,64955
Production,38745,Ranga,Middleton,M,1956-04-17,12.3123,56546
Development,38747,Kenton,Guerreiro,F,1953-08-14,13.7918,121794
Development,38756,Jacopo,Sichman,M,1956-03-18,15.1425,77283
"Human Resources",38760,Tristan,Schwartzbauer,F,1954-07-02,13.3726,76842
Development,38768,King,Haddadi,F,1954-09-08,11.4247,46766
Research,38774,Urs,Chelton,M,1953-10-02,12.2849,103868
Finance,38776,Foong,Erol,F,1954-08-30,13.0110,182972
Development,38781,Eben,Khalil,M,1952-04-14,10.5479,64384
"Customer Service",38790,Boaz,Poujol,F,1955-04-12,11.9918,70557
Production,38791,Bingning,Meszaros,M,1954-06-11,12.7918,68497
"Quality Management",38797,Mechthild,Calkin,F,1956-03-28,10.4740,63826
Development,38801,Jackson,Weedon,M,1955-09-17,11.9260,75961
Finance,38806,Tua,Yamaashi,F,1956-07-17,15.8110,70056
Marketing,38807,Kiyomitsu,Shihab,M,1953-04-12,9.2740,80763
Sales,38810,Pohua,Roccetti,M,1954-08-22,15.0055,116077
Production,38811,Noritoshi,Swen,M,1954-12-21,9.0110,58177
"Customer Service",38815,Ebbe,Staylopatis,M,1952-05-08,13.5260,47438
Finance,38822,Susumu,Chiodo,M,1954-09-03,11.3178,79016
Development,38824,Shounak,Rindone,M,1955-01-02,15.7589,65073
Production,38827,Syozo,Erol,M,1952-05-04,10.5397,82968
Production,38834,Hongzhu,Farrel,F,1956-01-13,11.8521,105392
Production,38840,Leaf,Lunn,F,1954-07-20,15.1890,82590
Development,38842,Alper,Mukaidono,M,1952-07-24,15.4630,90816
Development,38843,Mohammed,Landherr,M,1957-02-01,9.7836,69188
Marketing,38844,Marsal,Merle,F,1955-04-25,12.9233,171010
Finance,38846,Hisao,Szmurlo,M,1955-01-25,11.9616,84194
Development,38847,Ugo,Waterhouse,F,1953-08-08,13.9260,78022
Development,38851,Deborah,Stassinopoulos,M,1954-03-04,15.7260,70722
Sales,38852,Niranjan,Lorys,M,1953-11-05,14.3945,75261
Marketing,38868,Tsuneo,Motley,M,1956-04-25,13.6466,84755
Development,38870,Jiafu,Rijsenbrij,F,1954-04-05,9.6247,49938
Sales,38878,Hauke,Champarnaud,F,1955-02-24,14.2384,99809
"Quality Management",38879,Tsz,Morton,M,1954-08-25,14.5616,73497
Production,38880,Hatsukazu,Kakkar,F,1952-03-13,10.3534,65110
Research,38884,Arne,Dratva,M,1954-09-10,12.6712,59185
Development,38889,Yuuichi,Hofting,F,1956-02-06,15.6000,76129
Production,38897,Rasiah,Berendt,F,1956-10-01,14.2904,80712
Development,38905,Arnould,Pearson,F,1953-01-15,13.3616,60945
Development,38906,Peternela,Chleq,M,1956-07-19,14.9781,67703
Sales,38915,Divine,Hanratty,M,1953-06-29,14.7507,84363
Development,38916,Hein,Kroll,M,1954-12-04,15.5671,73895
"Human Resources",38922,Xiaobin,Sewelson,F,1953-06-06,12.5014,48095
Marketing,38933,Piyawadee,Bach,F,1956-09-08,11.6466,79930
"Quality Management",38941,Yurij,Turnbull,M,1952-10-06,15.0219,70245
Sales,38942,Danco,Xiaoshan,F,1952-12-22,14.1973,92411
Sales,38951,Terresa,Rijckaert,M,1952-09-03,12.1808,96522
"Human Resources",38955,Chaoyi,Trachtenberg,M,1955-12-02,11.1260,58645
Development,38960,Edwin,Morrow,F,1953-09-05,11.0027,176090
Marketing,38965,Abdelghani,Zallocco,M,1957-01-15,12.5014,81218
Research,38972,Sungwon,Butterworth,M,1956-11-03,12.7726,58881
Production,38976,Kensyu,Erman,M,1955-12-20,9.7781,57974
Production,38978,Sedat,Linares,M,1953-02-11,9.4274,70734
Production,38982,Debaprosad,Spelt,M,1956-06-25,11.7342,70632
Marketing,39008,Feiyu,Flanders,M,1956-03-07,13.7151,79783
Development,39010,Gadiel,Akazan,F,1956-06-26,9.0685,92294
Development,39017,Shahid,Carrera,F,1953-03-01,9.2904,61346
Development,39018,Irena,Harllee,M,1953-11-12,12.7973,97509
"Quality Management",39026,Yongmin,Etalle,F,1952-04-20,13.4055,61514
Sales,39031,Yagil,Schiettecatte,M,1952-10-11,9.5890,78921
Production,39035,Susumu,Kohling,F,1953-11-29,15.2795,81374
Finance,39038,Miquel,Fiutem,F,1956-11-29,12.7671,89014
"Quality Management",39041,Shem,Fabrizio,F,1954-06-07,13.9753,53802
Development,39043,Kersti,Ferretti,M,1952-02-06,14.9890,144040
Development,39049,Muneo,Baba,M,1956-08-15,10.7644,56698
Development,39055,Remko,Varman,M,1953-09-15,13.5178,97477
Marketing,39072,Itzchak,Kavvadias,M,1952-04-28,10.5699,173694
Production,39082,Ortrun,Encarnacion,F,1955-07-11,15.8932,138252
Marketing,39083,Ottavia,Jording,M,1955-06-08,9.5342,63638
Development,39087,Marin,Luders,M,1952-03-14,12.5096,93586
"Customer Service",39089,Tzu,Rajcani,M,1954-08-08,11.0575,54920
Marketing,39094,Mohan,Gronowski,M,1953-10-10,9.1534,62252
"Human Resources",39105,Moni,Pashtan,M,1954-08-27,11.9123,69805
"Quality Management",39107,Cordelia,Markovitch,F,1952-07-10,9.1973,41819
Production,39113,Janche,Aumann,F,1952-12-06,14.2027,96429
Production,39119,Tristan,Klyachko,M,1955-10-29,15.0795,115894
Marketing,39130,Itzchak,Vickson,F,1956-09-30,12.1562,70006
Development,39131,Zhaofang,Babu,M,1955-06-26,10.2329,63561
Research,39132,Uta,Massonet,F,1952-04-20,14.3589,62517
Development,39134,Reinhard,Vidal,F,1953-11-27,12.0685,54734
Development,39138,Ashish,Jeansoulin,M,1952-04-04,9.4658,57174
"Customer Service",39140,Shai,Terkki,F,1954-03-25,15.2164,44553
Sales,39143,Flemming,Salverda,F,1952-11-21,13.2959,112769
"Customer Service",39151,Stamatina,Erbe,M,1952-12-15,14.4959,59792
Production,39155,Yoshimitsu,Masamoto,M,1953-07-27,12.9644,97613
"Human Resources",39156,Gift,Pileggi,F,1953-07-19,15.8247,68823
Production,39163,Gretta,Esteva,M,1952-10-27,10.8740,82334
"Quality Management",39166,Dante,Jenevein,F,1955-05-13,14.4274,72991
Finance,39171,Yahiko,Matzat,M,1956-08-14,15.7753,64952
Development,39172,Arvind,Waeselynck,M,1957-02-06,15.1589,60262
Marketing,39186,Golgen,Atrawala,M,1954-04-09,13.1288,150596
Development,39188,Apostol,Bresenham,M,1952-04-23,13.2521,55894
Finance,39191,Flemming,Servieres,M,1953-06-09,13.5452,60541
Sales,39193,Masali,Eickenmeyer,F,1956-03-01,12.0247,76526
"Quality Management",39194,Arun,Imataki,M,1954-12-13,14.4740,70564
Production,39204,Zeljko,Solovay,M,1956-03-08,11.0055,67686
Production,39207,Gritta,Stiles,M,1953-12-29,15.7616,88007
Production,39220,Dinah,Showalter,M,1954-03-18,14.6712,71687
Research,39222,Lokesh,Keirsey,M,1952-10-08,9.7699,58736
Development,39224,Moss,Chenney,M,1955-02-28,12.3096,99648
Production,39226,Samphel,Parfitt,M,1955-11-02,12.1288,79912
"Customer Service",39232,Genevieve,Baumann,M,1952-06-02,10.1151,72086
Development,39234,Feixiong,Ranka,M,1954-03-02,10.1370,61981
Development,39237,Sugwoo,Fabrizio,M,1952-07-28,12.8849,57682
Production,39239,Karsten,Benner,F,1954-05-22,13.1890,86380
"Customer Service",39240,Nimmagadda,Lichtman,F,1956-12-20,13.3151,64945
Finance,39243,Arco,Heiserman,M,1955-09-20,14.0055,102096
Development,39251,Gererd,Pusterhofer,M,1957-01-03,12.4849,63196
Production,39252,Vojin,Anily,M,1955-09-02,10.8740,80099
Research,39258,Ingemar,Gimbel,M,1955-09-08,11.1014,67212
Production,39259,Junsik,Peroz,M,1953-05-07,9.5233,61687
Sales,39261,Hirochika,Zeidenstein,M,1956-05-04,13.2849,67716
Production,39262,Karoline,Vecchi,F,1952-02-21,14.4219,131398
"Quality Management",39264,Jaideep,Michaels,F,1953-09-03,10.1726,62004
"Quality Management",39267,Valeri,Naudin,F,1953-02-22,13.7041,61389
Research,39276,Alejandro,Busillo,F,1953-10-10,15.7452,73413
Development,39283,Ghassan,Trumbly,F,1953-10-04,11.3342,95512
Research,39284,Sajjad,Luders,M,1956-06-03,10.5534,61829
Finance,39289,Behnaam,Caine,M,1954-05-10,13.5123,68253
Development,39290,Kwee,Mateescu,M,1955-10-15,10.9397,56368
Marketing,39298,Nahum,DuCasse,F,1953-05-02,9.5616,62016
Production,39304,Aram,Plesums,F,1954-05-17,14.2658,73833
Production,39316,Ulises,Gyorkos,M,1953-03-29,11.8849,78955
Production,39320,Katsuo,Ossenbruggen,M,1954-02-05,14.6493,84381
Development,39321,Arie,Wilfing,M,1952-06-20,14.9890,104816
Development,39323,Zita,Ratnaker,M,1955-03-14,14.5425,62370
Sales,39331,Evgueni,Tramer,M,1952-03-07,10.3890,79068
Development,39333,Sastry,Danley,M,1955-04-29,11.7425,53541
Production,39337,Shaowen,Miake,F,1953-09-23,14.6822,74434
Development,39338,Leaf,Zuberek,M,1952-07-06,10.2493,77130
Production,39361,Gio,Cummings,F,1955-06-23,13.4849,106446
Production,39366,Yuqun,Baar,F,1953-09-06,12.8493,57864
Production,39368,Shigeo,Schaad,F,1952-05-26,10.4986,58796
Development,39369,Sreenivas,Mattern,F,1956-07-12,13.9699,56555
Research,39371,Mototsugu,Dusink,F,1956-07-06,15.6740,65550
Sales,39374,Zvonko,Maierhofer,M,1953-08-16,10.3260,113161
Finance,39375,Yagil,Schurmann,F,1955-08-27,14.6384,94275
Development,39376,Ayonca,Swick,M,1956-07-13,13.8466,72297
Production,39387,Kauko,Wegerle,M,1953-12-30,9.0822,50639
Development,39392,Berni,Luiz,M,1956-03-30,9.8630,52631
Production,39394,Maia,Makrucki,F,1952-10-23,9.5671,62178
Development,39403,Alair,Ravishankar,F,1956-07-30,10.0466,53482
Production,39405,Toong,Millington,M,1953-04-25,15.5890,60138
Production,39407,Sanjai,Fontan,F,1956-12-19,12.3699,126670
Sales,39408,Arto,Yoshizawa,M,1956-01-15,15.0384,107405
Development,39409,Zhilian,Leslie,M,1953-01-16,13.6082,60333
Research,39413,Haldun,Dolinsky,M,1956-06-03,12.1151,42671
Sales,39416,Juichirou,Serot,F,1954-04-16,10.9370,84329
Sales,39419,Van,Swist,M,1953-11-05,11.7945,77662
Production,39425,Deniz,Hashii,M,1954-05-05,15.3836,73190
Production,39426,Bluma,Tanemo,F,1952-10-13,13.9507,71017
Development,39429,Alassane,Sooriamurthi,M,1953-11-28,11.3699,85237
Sales,39431,Phule,Thiran,F,1952-05-28,10.3781,91571
"Customer Service",39433,Conor,Chleq,M,1953-06-25,11.6301,56678
Development,39435,Padma,Jansch,M,1956-03-19,15.2219,71927
Sales,39439,Lidong,Domenig,M,1952-06-22,11.5918,80937
"Human Resources",39443,Weidon,Ratnaker,F,1952-06-13,12.6548,55450
Finance,39444,Huican,Majewski,F,1954-09-20,15.1726,185978
"Human Resources",39445,Bernt,Murtha,M,1954-03-28,11.3890,40000
Development,39447,Jinpo,Kroha,M,1953-01-02,13.6548,40645
Marketing,39453,Hairong,Conti,F,1952-06-18,11.4849,54760
Development,39458,Kristinn,Terlouw,M,1956-05-28,10.5151,64895
Production,39462,Basil,Luit,F,1952-03-10,15.2658,152924
Production,39468,Yuqun,Demir,M,1954-10-13,11.1836,46568
Production,39473,Georgy,Demri,F,1956-12-24,11.3178,49952
Sales,39474,Zorica,Kilgore,F,1952-09-12,13.9014,51346
Development,39481,Mokhtar,Ratnakar,F,1952-04-06,14.8466,50535
Production,39492,Zijian,Vigier,M,1956-09-23,11.4164,192002
Production,39501,Jaana,Baalen,F,1955-01-16,14.3425,142142
Development,39506,Hatsukazu,Lubachevsky,M,1952-10-29,13.6904,56443
Sales,39517,Jackson,Baar,F,1956-08-01,15.5452,93860
Production,39523,Niclas,Snedden,F,1955-06-08,13.5425,71211
Development,39526,Sadok,Rouquie,M,1952-07-14,13.7014,56223
Production,39529,Karoline,Menhoudj,M,1954-11-08,11.7068,119006
"Quality Management",39533,Urs,Pettit,M,1954-01-31,13.3479,58823
Production,39534,Venkatesan,Trystram,F,1954-06-20,15.4329,84741
Production,39562,Mart,Bridgland,M,1956-04-19,14.7123,90399
Development,39587,Irena,Hoppenstand,M,1952-06-20,15.0356,74374
Production,39589,Janche,Murtafg,F,1954-11-23,11.4247,70331
Development,39595,Vishv,Ramras,M,1955-05-06,15.4301,58097
Production,39600,Ugo,Kawashimo,M,1953-06-24,11.8164,99371
Marketing,39603,Shugo,Pelc,F,1954-03-04,15.4685,149980
Sales,39605,Tetsurou,Benzmuller,F,1956-09-03,15.6548,88254
Sales,39611,Siddarth,Luan,F,1957-01-24,15.4603,72249
Marketing,39630,Mototsugu,Neiman,M,1955-02-16,11.9589,110068
Sales,39631,Jiafu,Simmel,M,1952-03-26,15.7151,111474
Marketing,39636,Muzhong,Deville,M,1955-04-17,12.1425,83907
Production,39640,Fox,Wroclawski,M,1955-12-06,11.5918,66679
Marketing,39642,Mori,Ertl,F,1956-04-08,15.3479,87140
Finance,39644,Jouni,Nastansky,F,1952-09-17,10.1342,67307
Production,39647,Aamer,Massonet,F,1953-01-01,15.8164,57541
Marketing,39648,Gad,Lanphier,F,1953-11-23,12.8986,178550
Development,39652,Kitty,Keirsey,F,1952-03-13,15.6219,80724
Sales,39653,Boalin,Wilfing,F,1956-09-13,12.4658,97411
Development,39654,Gad,Tramer,M,1955-11-06,11.2493,82414
Sales,39656,Annemarie,Nannarelli,M,1954-12-21,13.9068,102222
Production,39657,Eran,Fortenbacher,M,1953-04-07,10.1534,123472
Production,39658,Cullen,Flexer,M,1952-08-01,12.1726,55899
Finance,39669,Toshiko,Jakobus,M,1954-05-12,10.3233,66512
Production,39672,Demos,Morton,M,1956-11-09,14.0932,52592
Development,39674,JoAnna,Atrawala,M,1952-11-16,12.0493,43286
Marketing,39682,Lucian,Yetto,M,1956-12-17,14.6493,75329
Sales,39684,Kokou,Dratva,F,1954-02-22,13.4055,84121
Finance,39689,Ziya,Parveen,F,1955-07-14,12.3973,104008
Development,39691,Pascal,Peot,M,1956-05-29,11.3863,68959
Production,39696,Yuchang,Burnard,M,1956-10-11,10.1397,77498
Development,39705,Kinh,Vidal,M,1955-04-21,15.1452,85887
Sales,39712,Chirstian,Muchinsky,M,1953-05-12,12.1781,90377
Development,39717,Josyula,Figueira,F,1953-10-25,9.4301,129080
Finance,39719,Yagil,Unno,F,1955-05-02,12.9096,48925
Production,39729,Fan,Awdeh,M,1953-08-31,14.5397,64023
Production,39730,Shirish,Mattern,M,1952-02-21,15.7178,71560
Development,39735,Morris,Ashish,M,1952-07-20,15.9096,96664
Production,39738,Arvin,Gerteisen,F,1953-10-11,15.6795,55660
Production,39743,Leucio,Piazza,M,1955-02-02,14.6219,64269
Development,39747,Pohua,Montresor,F,1955-02-23,12.7781,61698
Production,39749,Bokyung,Berztiss,M,1952-05-11,11.5699,61392
Marketing,39753,Filipe,Norsworthy,M,1952-08-14,11.2986,63183
Sales,39756,Dmitri,Litecky,M,1953-07-11,15.8082,106503
Marketing,39759,Faiza,Varker,F,1954-06-04,12.6767,77220
Development,39780,Alain,Gyorkos,F,1953-08-21,14.6822,77312
Production,39783,Rasikan,Gustavson,M,1954-06-23,11.3315,124144
Research,39784,Venkatesan,Ossenbruggen,M,1955-04-23,14.1671,80417
Development,39787,Bernardo,Bolotov,F,1953-04-20,10.2356,69158
Finance,39793,Troy,Hiltgen,M,1953-12-30,9.9644,119862
Research,39797,Stella,Tyugu,M,1953-07-09,9.3342,71801
Sales,39798,Ebru,Preusig,M,1956-04-26,11.8959,82609
Development,39801,Shaowei,Honglei,F,1954-01-26,9.5151,60397
Sales,39806,Shuzo,Rosenbaum,M,1955-01-12,15.4301,91164
Production,39812,Marit,Peres,F,1955-02-07,13.0685,118964
Production,39820,Willard,Range,M,1952-07-03,12.8877,83139
Research,39821,Percy,Schwartzbauer,M,1952-02-25,14.0356,74085
Sales,39834,Shunichi,Erol,M,1956-11-24,9.2000,86306
Marketing,39836,Barton,Pileggi,F,1956-07-24,14.4301,85988
Development,39840,Gregory,Demian,F,1954-12-28,10.9151,45938
Finance,39846,Shawna,Riesenhuber,F,1954-10-02,15.5890,111809
Production,39849,Khalid,Birke,M,1956-03-04,9.2137,59631
Sales,39852,Willard,Guenter,F,1954-10-12,14.3178,104057
Production,39853,Abdelaziz,Merey,M,1952-05-26,9.8822,42443
Development,39854,Sanjay,McClurg,F,1953-05-14,15.6411,48504
Production,39859,Mingsen,Covnot,M,1954-04-19,14.9178,68018
Production,39868,Adas,Tomescu,M,1955-09-05,14.7151,145506
Production,39873,Kankanahalli,Joslin,F,1955-11-04,15.5781,55544
"Human Resources",39875,Jaideep,Magliocco,M,1954-04-12,14.6329,40000
Production,39876,Quingbo,Llado,M,1955-08-18,15.3863,69538
Sales,39880,Turgut,Karunanithi,M,1952-12-16,12.1836,102605
Development,39883,Moriyoshi,Luan,M,1955-02-19,13.6164,52210
Sales,39886,Alassane,Erdmenger,F,1956-10-10,14.3945,51699
Research,39889,Pranav,Menhoudj,M,1954-06-28,13.8192,105227
Sales,39890,Sanjai,Valiente,M,1952-11-14,14.0767,101987
Production,39891,Zine,Koprowski,F,1956-08-24,14.3644,85698
Sales,39895,Heon,Baaz,M,1952-07-15,11.2767,65432
Production,39900,Adas,Schach,F,1952-08-09,13.1534,47245
Production,39902,Pascal,Zallocco,F,1956-06-14,14.2329,57457
Production,39908,Yaghout,Redmiles,F,1954-06-14,10.7562,59171
Sales,39909,Nectarios,Ozeki,F,1953-06-19,12.5151,76488
Development,39917,Guoxiang,Besselaar,F,1952-10-10,13.4438,70489
Marketing,39918,Shahar,Laventhal,M,1953-10-10,11.8685,71925
Production,39926,Ebbe,Fargier,F,1954-12-26,11.2192,109307
Finance,39930,Kitty,Paludetto,M,1952-08-29,13.8548,80039
Sales,39933,Deborah,Bennet,M,1953-03-17,12.6082,132992
Development,39940,Kazuhisa,Hiraishi,M,1955-04-27,13.2822,67115
Development,39941,Gino,Tanemo,M,1955-09-27,14.8822,72883
Sales,39946,Mara,McAlpine,M,1952-05-05,9.2110,80903
"Quality Management",39949,Ziya,Schlegelmilch,F,1954-05-20,14.1288,96703
Production,39953,Denny,DuBourdieux,M,1956-03-07,15.6986,88792
Development,39961,Luerbio,Verhoeff,M,1956-01-04,12.0575,56327
Sales,39966,Utpal,Beidas,F,1954-02-28,12.6000,74321
Production,39967,Danel,Gluchowski,F,1954-10-17,10.4822,57035
Development,39968,Parto,Capobianchi,M,1953-10-01,9.5836,119305
"Customer Service",39969,Mark,Conia,M,1955-10-15,15.0712,59067
Sales,39970,Sachar,Sgarro,M,1954-08-03,13.3151,94685
Marketing,39971,Odoardo,Antonisse,M,1953-05-19,13.5041,131408
Development,39973,Pintsang,Lores,M,1953-06-11,11.2795,80194
Research,39979,Serenella,Cardazo,F,1955-10-01,14.8986,86902
Finance,39981,Renee,Biran,M,1955-03-25,14.6301,137286
"Quality Management",39985,Sergi,Perez,F,1952-11-12,12.1699,53133
Production,39988,Anoosh,Spelt,M,1952-10-20,14.8466,60027
Production,39989,Raimond,Dehkordi,F,1952-06-30,10.6877,66916
Production,39990,Jingling,Katalagarianos,M,1953-11-09,15.4822,151272
Sales,39992,Mohit,Gadepally,M,1953-10-26,12.2493,68456
Development,39994,Boriana,Luck,M,1956-07-15,10.0658,54213
Production,39995,Marko,Deverell,F,1954-11-09,12.0822,85990
Production,40000,Nishit,Asser,M,1953-12-17,15.3808,70686
Production,40001,Akemi,Maliniak,F,1956-03-28,13.4137,67466
Finance,40008,Yucai,Nittel,M,1955-02-21,14.5068,63230
Production,40010,Mingdong,Ferriere,F,1952-08-22,13.1260,81195
Development,40013,Marit,Stanfel,F,1956-10-20,15.2384,54177
Development,40014,Maha,Meriste,M,1954-01-15,11.3945,59491
Development,40018,Yongmao,Beidas,F,1955-10-28,12.3288,65834
Sales,40019,Katsuo,Rodham,F,1953-10-15,9.7397,85703
Development,40021,Parto,Delgrande,F,1955-03-08,12.9205,72516
Marketing,40022,Duro,Bashian,M,1955-04-11,11.2110,83771
Production,40023,Ortrun,Asmuth,M,1955-01-11,15.4767,75527
"Customer Service",40026,Pramod,Masada,M,1954-07-27,11.2877,61860
Production,40028,Wuxu,Hofman,F,1954-03-24,12.1397,68480
Finance,40029,Aruna,Braccini,M,1953-02-04,13.6192,94756
Marketing,40035,Anyuan,Kleiser,M,1953-04-29,13.9479,221272
"Human Resources",40045,Hairong,Czap,M,1952-12-22,15.1699,92958
Sales,40057,Ghassan,Kalloufi,F,1952-09-28,14.4192,102112
Production,40072,Morrie,Cmelik,M,1952-07-20,14.5425,67654
Production,40073,Iara,Laventhal,M,1952-07-21,10.9589,113018
Finance,40082,Jingling,Winter,M,1956-03-18,10.1425,69443
Production,40087,Vesna,Huttel,M,1952-11-27,10.9288,59109
Sales,40096,Chanjung,Piazza,M,1955-06-20,10.7918,94966
Finance,40103,Arvin,DasSarma,F,1953-07-20,9.6959,60451
"Customer Service",40106,Zdislav,Mukaidono,M,1954-05-30,14.2247,72557
Development,40112,Billur,Keirsey,M,1956-05-06,15.2986,61038
Research,40113,Rosine,Wissmann,M,1952-03-23,13.8137,52083
Production,40118,Fen,Uludag,F,1953-05-05,12.5973,46413
Production,40122,Chinya,McConalogue,F,1955-10-21,10.9781,60850
Finance,40127,Kauko,Callaway,M,1955-03-19,14.0521,70642
Development,40128,Hilari,Hiraishi,M,1956-03-26,12.9151,122736
Production,40131,Moti,Asser,F,1955-08-26,13.8274,81994
Production,40134,Caolyn,Brlek,F,1953-02-25,14.6575,58720
Sales,40144,Uta,Leslie,F,1952-10-21,9.8822,70561
Research,40147,Padma,Gaughan,M,1955-04-07,15.8795,64406
Production,40150,Weiyi,Cusworth,F,1952-05-05,11.2932,99884
Sales,40156,Dhritiman,Cooman,M,1953-05-28,15.9068,87734
Production,40159,Werner,Loncour,M,1956-11-04,10.6685,120000
Development,40161,Premsyl,Guardalben,M,1955-06-26,12.3644,58049
Development,40164,Apostol,Sidhu,M,1956-05-10,10.0438,52208
Research,40168,Miquel,Frezza,F,1954-01-29,12.8959,53190
Sales,40169,Remco,Isaac,M,1955-01-15,12.5753,92803
Production,40181,Muneo,Terlouw,M,1957-01-14,12.5808,69955
Development,40182,Eran,Pepe,F,1955-04-11,11.0575,69070
Production,40185,Miyeon,Garnick,M,1953-07-06,15.7753,74671
Marketing,40188,Mansur,Serot,F,1953-03-24,15.0822,84846
Production,40199,Lijia,Heering,F,1956-11-25,14.4740,99028
Production,40205,Genevieve,Provine,F,1955-03-17,14.5096,136564
Development,40214,Freyja,Kenevan,M,1956-02-13,10.7205,119374
Production,40216,Vitaly,Wynblatt,M,1956-11-28,12.7452,75192
Sales,40217,Padma,Shokrollahi,F,1955-12-10,13.1781,89157
Sales,40222,Oldrich,Maccarone,F,1956-04-18,15.6356,57399
Sales,40225,Shakhar,Schieder,F,1955-08-25,14.2685,79184
Sales,40226,Hyuncheol,Benantar,M,1954-02-20,12.5507,71622
"Human Resources",40233,Wilmer,Schmiedel,M,1956-01-17,15.5945,61573
Marketing,40238,Ekawit,Hopewell,M,1953-04-12,9.3808,78310
Production,40244,Saniya,Janetzko,F,1953-01-16,13.2877,78258
Sales,40245,Yucai,Bael,M,1955-04-14,14.8603,57406
Production,40246,Heng,Bugaenko,F,1955-04-21,9.6795,63748
Production,40250,Jamaludin,Birta,F,1952-10-31,12.1315,46344
Production,40257,Adit,Conte,F,1956-10-16,14.7041,45098
Finance,40262,Arunas,Heiserman,M,1952-09-20,10.8438,151994
"Human Resources",40264,Jaideep,Schlumberger,M,1956-01-16,10.7589,56310
Production,40272,Taizo,Gonthier,F,1953-12-08,15.4466,122588
Sales,40302,Hairong,Stellhorn,F,1956-12-08,15.4548,120648
Development,40308,Herbert,Gomatam,M,1956-02-19,12.1589,97168
Research,40310,Chaoyi,Marletta,M,1956-01-23,14.4603,68544
Development,40313,Turgut,Staylopatis,M,1952-03-04,13.6822,75624
Finance,40316,Gou,Conry,F,1954-01-17,10.6986,72718
Production,40318,Shin,Vingron,F,1953-01-09,15.0219,108354
Production,40319,Lubomir,Diderrich,F,1953-02-15,10.6603,67934
Production,40321,Hinrich,Ouhyoung,M,1952-07-31,12.0110,60144
Research,40322,Charmane,Sankaranarayanan,F,1955-07-24,10.5370,75516
"Customer Service",40325,Vincent,Gist,F,1954-03-11,14.5068,59581
"Customer Service",40327,Dinkar,Zobel,M,1955-01-15,13.4685,62097
Sales,40328,Janche,Mawatari,F,1956-06-12,15.2740,80272
Sales,40329,Berni,Gewali,F,1952-08-04,10.0740,40000
Development,40333,Gennadi,Emden,M,1954-05-11,10.3562,55664
Sales,40344,Xiaocheng,Lanteri,F,1956-10-17,11.4055,60730
Development,40347,Vasiliy,Bala,M,1955-04-25,11.2274,44124
Marketing,40350,Nidapan,Bolsens,F,1957-01-02,14.2027,97554
Production,40353,Shigeichiro,Cyre,M,1956-02-19,9.9014,91266
Development,40360,Harjit,Miyakawa,M,1955-07-09,12.3671,63677
Finance,40364,Limsoon,Harllee,M,1955-06-20,13.9205,100702
"Customer Service",40366,Chaoyi,Marwedel,M,1956-02-07,9.7644,59311
